"rid", "binaryID"
11062,1000000001000100000000000000000000000000000000100000000000000000000000000000000000000000000
13736,1000000001000100000000000000000000000000000000100000000000000000000000000000000000000000001
12747,1000000001000100000000000000000000000000000000100000000000000000000000000000000000000000010
13361,1000000001000100000000000000000000000000000000100000000000000000000000000000000000110000100
12291,1000000001000100000000000000000000000000000000100000000000000000000000000000000000110000110
12273,1000000001000100000000000000000000000000000000100000000000000000000000000000000001000000000
13136,1000000001000100000000000000000000000000000000100000000000000000000000000000000001000000001
13115,1000000001000100000000000000000000000000000000100000000000000000000000000000000001000000010
13120,1000000001000100000000000000000000000000000000100000000000000000000000000000000001000000011
13148,1000000001000100000000000000000000000000000000100000000000000000000000000000000001000000100
11063,10000000010001000000000000000000000000000000001000000000000000000000000000000000000000000000
13554,10000000010001000000000000000000000000000000001000000000000000000000000000000000000000000001
12748,10000000010001000000000000000000000000000000001000000000000000000000000000000000000000000100
13553,10000000010001000000000000000000000000000000001000000000000000000000000000000000000000000101
12292,10000000010001000000000000000000000000000000001000000000000000000000000000000000001100001100
13091,10000000010001000000000000000000000000000000001000000000000000000000000000000000001100001101
12274,10000000010001000000000000000000000000000000001000000000000000000000000000000000010000000000
